,Epsilon,Score
0,1.0,-57
1,1.0,-67
2,1.0,-55
3,1.0,-56
4,1.0,-62
5,1.0,-60
6,1.0,-64
7,1.0,49
8,1.0,-58
9,1.0,-52
10,1.0,-63
11,1.0,-58
12,1.0,-54
13,1.0,-53
14,1.0,-61
15,1.0,-62
16,1.0,-52
17,1.0,-55
18,1.0,-53
19,1.0,-55
20,1.0,-61
21,1.0,-56
22,1.0,-54
23,1.0,39
24,1.0,-65
25,1.0,30
26,1.0,-55
27,1.0,43
28,1.0,-65
29,1.0,38
30,1.0,19
31,1.0,-60
32,1.0,-52
33,1.0,-53
34,1.0,-55
35,1.0,-63
36,1.0,-50
37,1.0,-66
38,1.0,-55
39,1.0,-52
40,1.0,-56
41,1.0,-52
42,1.0,46
43,1.0,-56
44,1.0,43
45,1.0,-56
46,1.0,-80
47,1.0,-53
48,1.0,-56
49,1.0,-53
50,1.0,-56
51,1.0,-59
52,1.0,-62
53,1.0,-91
54,1.0,-54
55,1.0,-53
56,1.0,-71
57,1.0,-61
58,1.0,46
59,1.0,-54
60,1.0,-56
61,1.0,-54
62,1.0,-60
63,1.0,-53
64,1.0,-55
65,1.0,-53
66,1.0,-62
67,1.0,-54
68,1.0,-53
69,1.0,-67
70,1.0,-58
71,1.0,-54
72,1.0,-66
73,1.0,-55
74,1.0,49
75,1.0,-62
76,1.0,-57
77,1.0,47
78,1.0,-62
79,1.0,-53
80,1.0,-53
81,1.0,-59
82,1.0,-52
83,1.0,-52
84,1.0,-57
85,1.0,-65
86,1.0,-53
87,1.0,-61
88,1.0,-74
89,1.0,-63
90,1.0,-53
91,1.0,48
92,1.0,-60
93,1.0,-69
94,1.0,-80
95,1.0,-52
96,1.0,-52
97,1.0,-54
98,1.0,-57
99,1.0,-52
100,1.0,-55
101,1.0,-62
102,1.0,-73
103,1.0,-56
104,1.0,-62
105,1.0,-64
106,1.0,-59
107,1.0,-58
108,1.0,-68
109,1.0,-53
110,1.0,-57
111,1.0,-54
112,1.0,-52
113,1.0,-61
114,1.0,-61
115,1.0,-52
116,1.0,40
117,1.0,-63
118,1.0,-52
119,1.0,-54
120,1.0,-55
121,1.0,47
122,1.0,-53
123,1.0,-52
124,1.0,-61
125,1.0,-57
126,1.0,-53
127,1.0,-53
128,1.0,-54
129,1.0,-58
130,1.0,32
131,1.0,-60
132,1.0,-65
133,1.0,48
134,1.0,-56
135,1.0,-56
136,1.0,-57
137,1.0,-58
138,1.0,-74
139,1.0,-56
140,1.0,-55
141,1.0,-59
142,1.0,-69
143,1.0,-54
144,1.0,-55
145,1.0,24
146,1.0,-61
147,1.0,-55
148,1.0,-64
149,1.0,-52
150,1.0,-60
151,1.0,41
152,1.0,-54
153,1.0,-59
154,1.0,-53
155,1.0,-56
156,1.0,-54
157,1.0,-53
158,1.0,-54
159,1.0,-55
160,1.0,-66
161,1.0,-55
162,1.0,-58
163,1.0,-61
164,1.0,-56
165,1.0,-52
166,1.0,-53
167,1.0,-59
168,1.0,-67
169,1.0,44
170,1.0,-58
171,1.0,-69
172,1.0,-57
173,1.0,-63
174,1.0,48
175,1.0,-52
176,1.0,-58
177,1.0,36
178,1.0,-65
179,1.0,-62
180,1.0,-52
181,1.0,-57
182,1.0,-71
183,1.0,-58
184,1.0,-56
185,1.0,-56
186,1.0,-62
187,1.0,-57
188,1.0,-58
189,1.0,44
190,1.0,-59
191,1.0,-54
192,1.0,-56
193,1.0,-53
194,1.0,-62
195,1.0,43
196,1.0,-87
197,1.0,-77
198,1.0,-56
199,1.0,-75
200,1.0,-68
201,1.0,-56
202,1.0,49
203,1.0,-62
204,1.0,-58
205,1.0,-60
206,1.0,-52
207,1.0,-60
208,1.0,-78
209,1.0,-61
210,1.0,-84
211,1.0,-56
212,1.0,-78
213,1.0,47
214,1.0,-57
215,1.0,-52
216,1.0,-59
217,1.0,-55
218,1.0,47
219,1.0,-53
220,1.0,-53
221,1.0,29
222,1.0,-54
223,1.0,-54
224,1.0,47
225,1.0,-54
226,1.0,34
227,1.0,-55
